team_name,stratum,n,metric_full,metric_full_ci_lower,metric_full_ci_upper,metric_reduced,metric_reduced_ci_lower,metric_reduced_ci_upper,delta_metric_full_minus_reduced,delta_metric_ci_lower,delta_metric_ci_upper,p_adj
BioToTem,Combined,169,0.7261000945441505,0.657044341463038,0.7936188151174923,0.7007966919079743,0.6295647030337009,0.7679172201187173,0.025303402636176142,-0.011977363088127285,0.06364386488839502,0.38987999999999995
BioToTem,B,89,0.759216238756289,0.6653042187831248,0.8484509167640544,0.6984090637051069,0.5989473369657925,0.7935310740233669,0.06080717505118205,0.0,0.12168401035495406,0.15360000000000001
BioToTem,U,80,0.6892811178525464,0.5857142857142857,0.7862509709965066,0.7032727272727273,0.6,0.8015569470904838,-0.01399160942018085,-0.05786004042254047,0.02218246126423086,0.7029000000000001
GRIS,Combined,169,0.6998637433420042,0.6296765919804698,0.7669189961550221,,,,,,,
GRIS,B,89,0.6699689903749346,0.5698278986639338,0.765729665874646,,,,,,,
GRIS,U,80,0.7324947589098533,0.6328125,0.8259892088542734,,,,,,,
BUAA-REMEX,Combined,169,0.6726445152480656,0.6053752470758775,0.7388034630879542,0.6941507420700359,0.6270168682074472,0.7596680865313835,-0.021506226821970342,-0.06036874859656968,0.01649319524301844,0.4305
BUAA-REMEX,B,89,0.6982796927569352,0.6046164742913888,0.7880158172492523,0.7359751922999476,0.6438494801325754,0.823688403433504,-0.03769549954301232,-0.09955426170101013,0.02018545732395307,0.38987999999999995
BUAA-REMEX,U,80,0.638095238095238,0.5321428571428571,0.7396642527978934,0.639386189258312,0.5339559295591272,0.7408648653480954,-0.0012909511630739834,-0.05039533074940511,0.048311181851169636,0.9708
CADGEN-BIIT,Combined,169,0.6592564314648681,0.5821034033645457,0.7341177689210294,,,,,,,
CADGEN-BIIT,B,89,0.6632148685616334,0.5437157620489607,0.7758781701854854,,,,,,,
CADGEN-BIIT,U,80,0.6261624936126725,0.5207365672947469,0.725,,,,,,,
WL,Combined,169,0.6470870183028992,0.5683920626802537,0.7225918386144011,,,,,,,
WL,B,89,0.6974973645414302,0.5893250427947505,0.7979031154483032,,,,,,,
WL,U,80,0.5898510755653613,0.475,0.7,,,,,,,
MITEL-UNIUD,Combined,169,0.6343521525707762,0.559981684981685,0.7033036103410054,0.7081300662202519,0.6287629019922534,0.781108919570458,-0.07377791364947572,-0.13955288412541136,-0.004715377573047604,0.15360000000000001
MITEL-UNIUD,B,89,0.6947094489742591,0.5915977515646025,0.7908909456098302,0.7171004895917721,0.6005872940514497,0.8271988781146854,-0.02239104061751296,-0.1064424334928378,0.07202076182844622,0.7029000000000001
MITEL-UNIUD,U,80,0.5565991902834008,0.44532388663967615,0.6624423963133641,0.6915360501567398,0.5802157102157102,0.7940571428571428,-0.13493685987333903,-0.24217737950268733,-0.026771386725449826,0.1296
HKKH,Combined,169,0.6104578592642254,0.5383847855941422,0.6806025014912902,,,,,,,
HKKH,B,89,0.6889465091712283,0.5915868249449652,0.7835711786984472,,,,,,,
HKKH,U,80,0.47907995618838994,0.3597459349593496,0.5924581645817876,,,,,,,
Aillis,Combined,169,0.5980917761555312,0.5252413429788996,0.6698813555104316,,,,,,,
Aillis,B,89,0.6823455159985717,0.5854994689473978,0.7752808988764045,,,,,,,
Aillis,U,80,0.45619107479572596,0.33492196209587516,0.5734162070354829,,,,,,,
